epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,561.778,1.45315,2.5369,1.47632,0.50052,0.47474,0.46499,0.27931,1.28567,2.89092,1.35434,0.000551257,0.000551257,0.000551257
2,1115.09,1.50128,2.19988,1.53522,0.51746,0.47474,0.42444,0.21343,1.58643,3.94859,1.73168,0.00108501,0.00108501,0.00108501
3,1760.51,1.60905,1.95867,1.56738,0.64364,0.56842,0.59363,0.30411,1.51905,3.1838,1.58572,0.00159675,0.00159675,0.00159675
4,2250.27,1.52938,1.73581,1.5077,0.58713,0.58737,0.52639,0.25458,1.48303,2.12859,1.51364,0.00156798,0.00156798,0.00156798
5,2721.68,1.50248,1.68558,1.50903,0.6825,0.64632,0.66631,0.37879,1.45383,1.7244,1.46806,0.00153497,0.00153497,0.00153497
6,3117.7,1.44985,1.58719,1.48512,0.59731,0.68526,0.60838,0.34907,1.3102,2.01527,1.40376,0.00150197,0.00150197,0.00150197
7,3501.37,1.41031,1.50422,1.45952,0.68838,0.67368,0.72586,0.43461,1.32626,1.42401,1.42091,0.00146896,0.00146896,0.00146896
8,3871.19,1.39169,1.44099,1.43336,0.69591,0.67895,0.73385,0.46356,1.23448,1.61546,1.37124,0.00143595,0.00143595,0.00143595
9,4252.91,1.3438,1.35066,1.39326,0.76782,0.72057,0.78702,0.51303,1.17764,1.34054,1.31175,0.00140295,0.00140295,0.00140295
10,4639.37,1.36567,1.34418,1.43129,0.73915,0.75053,0.77658,0.49382,1.17484,1.28199,1.32823,0.00136994,0.00136994,0.00136994
11,5102.52,1.30504,1.2913,1.37939,0.87737,0.7079,0.82897,0.49515,1.3167,1.23483,1.39508,0.00133693,0.00133693,0.00133693
12,5560.59,1.29524,1.25487,1.36394,0.76251,0.79158,0.84305,0.51578,1.2354,1.10833,1.33018,0.00130393,0.00130393,0.00130393
13,6023.26,1.28533,1.20312,1.36294,0.82668,0.74811,0.83407,0.54309,1.15202,1.10199,1.28315,0.00127092,0.00127092,0.00127092
14,6486.01,1.21648,1.19327,1.33568,0.70681,0.73084,0.74531,0.49018,1.17676,1.20822,1.29993,0.00123791,0.00123791,0.00123791
15,6948.71,1.21629,1.15052,1.30296,0.84624,0.77053,0.83546,0.53167,1.18103,1.10413,1.3063,0.00120491,0.00120491,0.00120491
16,7413,1.18744,1.13094,1.29464,0.77182,0.72278,0.8123,0.52541,1.19227,1.16875,1.33013,0.0011719,0.0011719,0.0011719
17,7830.77,1.23419,1.13819,1.34652,0.81311,0.73274,0.82389,0.54253,1.13574,1.09114,1.29325,0.00113889,0.00113889,0.00113889
18,8224.31,1.21807,1.10534,1.32987,0.80265,0.71053,0.79418,0.53318,1.10035,1.1768,1.27398,0.00110589,0.00110589,0.00110589
19,8593.46,1.19399,1.07775,1.30294,0.87659,0.77263,0.85702,0.55475,1.15492,1.062,1.30648,0.00107288,0.00107288,0.00107288
20,8963.94,1.18641,1.04465,1.30412,0.85263,0.75518,0.85089,0.56184,1.11669,1.02387,1.2755,0.00103987,0.00103987,0.00103987
21,9336.34,1.16015,1.06292,1.27186,0.85422,0.77717,0.86963,0.60576,1.02661,0.95361,1.18732,0.00100687,0.00100687,0.00100687
22,9716.42,1.18082,1.02067,1.29574,0.84607,0.76,0.8434,0.56257,1.09874,1.09531,1.2343,0.000973861,0.000973861,0.000973861
23,10166.1,1.16812,1.02861,1.30009,0.85861,0.81183,0.87753,0.59536,1.07313,0.92133,1.23742,0.000940855,0.000940855,0.000940855
24,10622.9,1.12448,0.98967,1.26015,0.84418,0.78421,0.86558,0.56602,1.14311,1.01918,1.28278,0.000907848,0.000907848,0.000907848
25,11084.3,1.12103,0.97283,1.25499,0.8109,0.78842,0.87729,0.61901,1.00574,0.89245,1.18589,0.000874842,0.000874842,0.000874842
26,11541.9,1.10228,0.95616,1.23923,0.85692,0.78632,0.87268,0.59077,1.07458,0.94844,1.24154,0.000841835,0.000841835,0.000841835
27,11914.9,1.08635,0.95348,1.22797,0.81671,0.68316,0.81802,0.56474,1.07973,1.12899,1.23311,0.000808828,0.000808828,0.000808828
28,12288.6,1.08376,0.91811,1.23152,0.80827,0.79432,0.86681,0.59824,1.0469,0.94853,1.21211,0.000775822,0.000775822,0.000775822
29,12658.2,1.06592,0.899,1.21349,0.85845,0.78105,0.86334,0.60803,1.05075,0.92127,1.2138,0.000742815,0.000742815,0.000742815
30,13032,1.09108,0.90604,1.24468,0.86139,0.77842,0.86871,0.61328,1.0211,0.91214,1.20315,0.000709809,0.000709809,0.000709809
31,13402.6,1.05625,0.90631,1.23798,0.87733,0.7905,0.88452,0.63032,1.01926,0.89814,1.1734,0.000676802,0.000676802,0.000676802
32,13772,1.04658,0.88905,1.21503,0.8548,0.7932,0.884,0.62453,1.01837,0.86335,1.16839,0.000643795,0.000643795,0.000643795
33,14145.1,1.04089,0.85626,1.2119,0.88985,0.80947,0.90288,0.63534,1.02715,0.83341,1.20257,0.000610789,0.000610789,0.000610789
34,14604,1.03475,0.85369,1.20883,0.90464,0.75789,0.88191,0.63177,0.98436,0.84946,1.15989,0.000577782,0.000577782,0.000577782
35,15070,1.03983,0.84775,1.21153,0.85474,0.81368,0.8865,0.62806,1.03276,0.84074,1.19601,0.000544776,0.000544776,0.000544776
36,15532.4,1.00891,0.82771,1.19057,0.88921,0.80259,0.87668,0.62515,0.98256,0.87968,1.15994,0.000511769,0.000511769,0.000511769
37,15998.2,0.98783,0.81082,1.17685,0.90311,0.79474,0.89177,0.63846,0.99144,0.8225,1.1806,0.000478762,0.000478762,0.000478762
38,16457.4,0.991,0.79559,1.18061,0.85355,0.79752,0.87845,0.63436,0.98729,0.87171,1.17054,0.000445756,0.000445756,0.000445756
39,16918.2,0.97402,0.79349,1.18037,0.90686,0.77474,0.89185,0.65072,0.9808,0.79841,1.15648,0.000412749,0.000412749,0.000412749
40,17378.6,0.98586,0.79065,1.1849,0.86683,0.8,0.87364,0.6333,0.99063,0.87613,1.16629,0.000379743,0.000379743,0.000379743
41,17830.1,0.89812,0.66557,1.12069,0.88318,0.77196,0.87338,0.61282,1.01404,0.89522,1.20494,0.000346736,0.000346736,0.000346736
42,18278.2,0.88254,0.63372,1.1151,0.86236,0.77158,0.87461,0.62929,0.99147,0.84262,1.18222,0.000313729,0.000313729,0.000313729
